learner_id,step,week_number,step_number,first_visited_at,last_completed_at
53eb8183-86fd-4cd3-a914-caa3b6afc398,1.1,1,1,2017-09-18 12:38:04 UTC,2017-09-18 12:44:08 UTC
56a1270b-4908-4892-a248-1685392cb510,1.1,1,1,2017-09-18 12:41:37 UTC,2017-09-22 10:38:56 UTC
382fa42d-cfa5-4fa2-80f8-f04d2fea90b8,1.1,1,1,2017-09-18 12:43:12 UTC,2017-09-18 12:45:34 UTC
2977449e-93ec-494c-8575-a0e0b093b887,1.1,1,1,2017-09-18 12:49:29 UTC,2017-09-18 15:01:40 UTC
4bc25f49-274a-4a7c-bc94-c00815b96b37,1.1,1,1,2017-09-18 12:57:45 UTC,2017-09-18 12:58:03 UTC
539a8c46-4803-4f30-ae2f-34a4618da366,1.1,1,1,2017-09-18 12:58:05 UTC,2017-09-18 13:00:46 UTC
a9a1264b-e9bf-4a88-a994-79bf11c5fc09,1.1,1,1,2017-09-18 13:01:20 UTC,2017-09-18 13:04:13 UTC
d7c8b5b4-3fb1-4cca-8181-9b6a92418c43,1.1,1,1,2017-09-18 13:10:22 UTC,2017-09-20 16:09:52 UTC
3949e95f-d5e7-400d-b733-7e7aac396071,1.1,1,1,2017-09-18 13:11:52 UTC,2017-09-18 13:14:06 UTC
5b50b697-1892-43cf-a62a-47518e3f8bb6,1.1,1,1,2017-09-18 13:13:41 UTC,2017-09-18 13:17:04 UTC
977f2784-c9d5-4989-8848-cccdeee794ea,1.1,1,1,2017-09-18 13:22:23 UTC,2017-09-18 13:25:28 UTC
dab92c9b-76f7-476a-8cc3-3f90f0fffecb,1.1,1,1,2017-09-18 13:23:18 UTC,2017-09-18 13:27:28 UTC
0868787a-44ca-4ee0-bfd5-10dad583489e,1.1,1,1,2017-09-18 13:26:35 UTC,2017-09-18 13:29:25 UTC
77323c85-2ac9-485b-b559-12faae6a7150,1.1,1,1,2017-09-18 13:30:25 UTC,2017-09-19 19:19:34 UTC
02aaeaae-8045-4e5a-8c79-732bc3b16a5d,1.1,1,1,2017-09-18 13:32:31 UTC,
a4c48ee5-aabb-40c7-987e-3a44be80174c,1.1,1,1,2017-09-18 13:35:13 UTC,2017-09-19 09:50:42 UTC
a5007db5-82af-4a8d-ae65-fbc2ec1a8dfb,1.1,1,1,2017-09-18 13:46:01 UTC,2017-09-18 13:48:28 UTC
d3ae9873-5bd2-4cfc-8502-206f87144196,1.1,1,1,2017-09-18 13:47:20 UTC,2017-09-18 13:49:06 UTC
099992d0-c25d-4092-96c3-cfd3a479bf0a,1.1,1,1,2017-09-18 13:52:48 UTC,2017-09-18 13:55:32 UTC
223467c8-7f66-4de6-b0e7-a7f7c315aeea,1.1,1,1,2017-09-18 14:00:33 UTC,2017-09-18 14:05:04 UTC
ff3ba1d8-fe64-44bd-9af5-d61f1e7e67b1,1.1,1,1,2017-09-18 14:05:41 UTC,2017-09-18 14:12:55 UTC
c6a6c0cd-b86d-4324-81b1-230a7135322a,1.1,1,1,2017-09-18 14:07:50 UTC,
e2a5d9fb-2305-455c-aa3f-413c64feb5f1,1.1,1,1,2017-09-18 14:09:45 UTC,2017-09-18 14:10:24 UTC
6504992e-b879-466c-9ca0-ccd2a42ef73b,1.1,1,1,2017-09-18 14:12:37 UTC,
712c847f-9db0-4acd-b3df-8c25c07a4014,1.1,1,1,2017-09-18 14:16:04 UTC,2017-09-18 14:20:23 UTC
0a27471e-574f-4fc1-8c1d-4908117a7880,1.1,1,1,2017-09-18 14:20:45 UTC,2017-09-18 14:29:47 UTC
5d73bc9e-9890-4235-8166-b79919de5741,1.1,1,1,2017-09-18 14:36:50 UTC,
c7e492e5-811b-49fa-a9d1-2beecc4ab552,1.1,1,1,2017-09-18 14:38:41 UTC,2017-09-18 14:51:08 UTC
ba70d8bf-adf8-4c41-9de1-d64c31fa3248,1.1,1,1,2017-09-18 14:43:14 UTC,2017-09-18 14:45:38 UTC
5f1fc4c3-d875-46ab-89eb-841a81d9f94f,1.1,1,1,2017-09-18 14:44:20 UTC,2017-09-18 14:49:54 UTC
1e0a24b6-3afb-41d0-ac88-3c638ab03e96,1.1,1,1,2017-09-18 14:46:05 UTC,2017-09-18 14:49:48 UTC
8a43071f-f9db-4efb-bd6e-33454e8754cf,1.1,1,1,2017-09-18 14:50:35 UTC,2017-09-18 14:52:46 UTC
e1034f43-3e33-4339-94e7-8cef72bb4544,1.1,1,1,2017-09-18 14:58:56 UTC,
366799e8-2ea7-4cdc-826e-2a519aaef835,1.1,1,1,2017-09-18 15:04:41 UTC,
847b1b37-00ae-4ecd-b353-5faa583cd8d2,1.1,1,1,2017-09-18 15:15:51 UTC,2017-09-18 15:18:07 UTC
14ddf12f-0eac-45f6-ada7-1d8ed8c04bbe,1.1,1,1,2017-09-18 15:18:18 UTC,2017-09-18 15:21:28 UTC
87051d1a-43f0-4c40-9681-cd0fc90d7258,1.1,1,1,2017-09-18 15:26:56 UTC,2017-09-18 15:39:58 UTC
c5627575-5cba-4cda-8314-52afb8376915,1.1,1,1,2017-09-18 15:42:07 UTC,2017-09-18 15:45:17 UTC
0ca643ae-52b3-4ced-abe8-ca8418ee09f8,1.1,1,1,2017-09-18 16:00:31 UTC,2017-09-18 16:02:44 UTC
c9ae1520-0edd-4dd3-896f-e4f576b2da74,1.1,1,1,2017-09-18 16:02:43 UTC,2017-09-18 16:10:04 UTC
ffe65928-a6b0-4908-a169-f8f857df73ae,1.1,1,1,2017-09-18 16:09:22 UTC,
2c3fc64f-ff23-4b48-80fc-fefec6c500c5,1.1,1,1,2017-09-18 16:13:12 UTC,
4e976a72-667b-4504-81d5-388989e6beee,1.1,1,1,2017-09-18 16:13:52 UTC,
789eaf3e-2957-43d7-94dd-18877258a7ee,1.1,1,1,2017-09-18 16:25:00 UTC,
186a3bb5-6677-40a0-bde1-680ba8967f1d,1.1,1,1,2017-09-18 16:25:04 UTC,
04859d02-bace-4657-9a8f-38f16db67fdd,1.1,1,1,2017-09-18 16:27:59 UTC,2017-09-18 16:34:15 UTC
8be70ade-31bf-49b6-970f-7a28f6de4d75,1.1,1,1,2017-09-18 16:28:59 UTC,2017-09-18 16:53:18 UTC
d3372c81-5b61-49d0-bfce-70b4d6f58f46,1.1,1,1,2017-09-18 16:42:02 UTC,2017-09-18 17:50:24 UTC
d30c402e-e2af-4f68-b41d-90ba3fb6a09f,1.1,1,1,2017-09-18 16:42:20 UTC,2017-09-18 16:44:59 UTC
56536064-3a38-4982-9457-fae6354d0c9d,1.1,1,1,2017-09-18 16:52:16 UTC,2017-09-18 17:04:00 UTC
8215b613-74e1-4abb-9270-279c16161963,1.1,1,1,2017-09-18 16:53:40 UTC,2017-09-18 18:51:40 UTC
460a5fa0-1677-416d-8a45-266f556c3bb2,1.1,1,1,2017-09-18 16:59:14 UTC,2017-09-18 17:02:15 UTC
29157373-9dd6-4643-9441-f66a8cb0a6b8,1.1,1,1,2017-09-18 17:03:35 UTC,2017-09-18 17:04:37 UTC
428f7db2-2772-4fec-8777-8eb854864714,1.1,1,1,2017-09-18 17:06:38 UTC,2017-09-18 17:09:48 UTC
587d9df1-0965-4cc0-8a58-d4d4fa32b6a1,1.1,1,1,2017-09-18 17:07:05 UTC,
71a289b0-7ae8-4bea-8254-a9993d79567f,1.1,1,1,2017-09-18 17:08:10 UTC,2017-09-18 17:56:43 UTC
89511397-8c31-41fe-a038-28c7c9eb9d3c,1.1,1,1,2017-09-18 17:11:10 UTC,
aa53317f-058f-4ae6-9148-ebfbba2cab8c,1.1,1,1,2017-09-18 17:13:55 UTC,2017-09-18 17:25:10 UTC
d570a904-3929-40f0-afe5-35bca9e0903f,1.1,1,1,2017-09-18 17:24:15 UTC,2017-09-18 17:27:27 UTC
5dca2ffb-d72f-464c-aacc-22b6c4a39053,1.1,1,1,2017-09-18 17:28:16 UTC,
644be91b-9815-4cb6-aa2e-e90af5b560e9,1.1,1,1,2017-09-18 17:38:39 UTC,2017-09-18 17:41:21 UTC
94df06da-6646-4bd2-9d38-2729493fdd92,1.1,1,1,2017-09-18 17:38:41 UTC,2017-09-26 13:39:51 UTC
68a314a2-7f6b-4cc4-910c-f558dec79b39,1.1,1,1,2017-09-18 17:39:54 UTC,
452adcc0-e956-4cdd-ab3c-97914db8c8bc,1.1,1,1,2017-09-18 17:43:36 UTC,2017-09-18 17:50:36 UTC
9f444d8e-b92e-4ac9-8a85-8017c48cd18c,1.1,1,1,2017-09-18 17:46:38 UTC,
345b1db4-5f41-43de-a76f-e2778f83becd,1.1,1,1,2017-09-18 17:46:49 UTC,2017-09-18 17:47:02 UTC
e7bf0c30-86fc-4d11-b8a2-bb9846103c9d,1.1,1,1,2017-09-18 17:56:51 UTC,2017-09-18 18:20:07 UTC
b90d6d03-a534-45e1-a4b1-7daeb667733a,1.1,1,1,2017-09-18 17:58:15 UTC,2017-09-18 18:00:27 UTC
14882385-4783-403f-9d10-da19f03c7d10,1.1,1,1,2017-09-18 18:04:09 UTC,2017-09-18 18:06:34 UTC
563fd388-cb44-4f44-99ad-bcd06b9b413d,1.1,1,1,2017-09-18 18:12:39 UTC,
393092a3-2f65-4807-b0ee-bcc88ce1bc33,1.1,1,1,2017-09-18 18:17:04 UTC,2017-09-18 18:23:09 UTC
d1c24534-e625-4360-8d7e-0f6cd5d6fbd5,1.1,1,1,2017-09-18 18:26:02 UTC,
1f40c5cd-0d37-41aa-977a-3af254ca55b8,1.1,1,1,2017-09-18 18:34:17 UTC,2017-09-18 18:37:10 UTC
de068412-5625-4bc0-a661-50956e6b5dc1,1.1,1,1,2017-09-18 18:49:54 UTC,
22f9d855-408c-4299-a2b1-9c7f5f8b08ab,1.1,1,1,2017-09-18 18:56:31 UTC,2017-09-18 19:07:31 UTC
e0c6cc24-42ee-4a77-9d02-e8d20d0a9a9d,1.1,1,1,2017-09-18 19:11:12 UTC,
caf22ccc-dd40-43d0-8e49-c3fb06d48193,1.1,1,1,2017-09-18 19:12:11 UTC,2017-09-27 20:33:10 UTC
01ea11c0-1a2f-4f66-83f1-7d339a5bc0fd,1.1,1,1,2017-09-18 19:14:06 UTC,2017-09-18 19:17:40 UTC
2b63e19f-ff05-41f5-8684-f14a2ed2f720,1.1,1,1,2017-09-18 19:20:57 UTC,2017-09-18 19:22:03 UTC
693569b2-3ae3-454f-b84e-491ab53d9482,1.1,1,1,2017-09-18 19:23:33 UTC,2017-09-19 11:58:02 UTC
a5525153-c177-4904-aee8-84d1c167f234,1.1,1,1,2017-09-18 19:39:39 UTC,2017-09-18 19:40:06 UTC
7937f55c-7508-45a3-bdd9-3f5c3fd3d7e1,1.1,1,1,2017-09-18 19:45:10 UTC,
